issue_id,area,severity,status,evidence,required_resolution
PDARTS-001,Partition counts,medium,open,"Publication reports ISIC 13909/5962/4968 and PAD 1286/552/460; archive manifests contain ISIC 13910/5961/4968 and PAD 1287/552/459",Identify the exact publication-era manifests or random state
PDARTS-002,PAD patient overlap,high,open,"Archived image-level manifests contain 219 train-validation; 173 train-test; and 103 validation-test overlapping patient identifiers",Preserve historical behavior and implement a separately named patient-grouped workflow
PDARTS-003,Label schemas,high,open,"ISIC/PAD class 5 is SCC while archived DermaMNIST class 5 is VASC",Require an explicit schema identifier in every configuration and result
PDARTS-004,Search epochs,high,open,"Run ledgers record 25 epochs per stage and 75 total; one manuscript sentence states 75 epochs per stage",Verify against authoritative scripts; logs; thesis; and final publication wording
PDARTS-005,Search cost,high,open,"Table 5 reports P-DARTS6 at 84 GPU minutes and DARTS6 at 69 minutes while prose claims P-DARTS6 is more than 700 percent faster",Verify table units; DARTS timing; and manuscript correction history
PDARTS-006,Incomplete run archive,high,open,"The archive contains 30 search directories and 9 evaluation directories but the publication describes a substantially larger experimental grid",Locate authoritative run summaries or preserve the publication table as the only canonical result record
PDARTS-007,Historical environments,medium,open,"Available artifacts reference Python 3.9; PyTorch 2.8.0+cu129; PyTorch 2.5.1+cu121; Windows CUDA; Linux CUDA; and failed CPU attempts",Separate publication environment; later rerun environment; and exploratory environments
PDARTS-008,High-resolution replication,high,open,"Several 224x224 Table 11 standard deviations are exactly zero and available archive artifacts include incomplete or failed high-resolution evaluations",Determine the successful-run count and aggregation basis for every depth and metric
PDARTS-009,Binary label wording,medium,open,"The manuscript lists benign classes as AK; SCK; and NV while other records use BKL or SEK",Confirm that SCK is a typographical variant and freeze the authoritative binary mapping
PDARTS-010,Publication authority,medium,open,"The available manuscript PDF is a peer-review package containing a submission ID and reviewer-response material",Link the final authorized publication record and DOI before release
